,Place,Player,Team,Games,Sum,Season
18,19,Justina  Miknaitė,Vilniaus Kibirkštis-MRU,15,158,2021-2022
19,20,Sintija  Aukštikalnytė,Vilniaus Kibirkštis-VKM,15,153,2021-2022
20,21,Camille   Droguet,Vilniaus Kibirkštis-MRU,15,147,2021-2022
21,22,Danguolė  Pupkevičiūtė,Šiaulių Šiauliai-Vilmers,17,146,2021-2022
22,23,Greta  Stašelienė,Kauno Aistės-LSMU,20,143,2021-2022
23,24,Gedvilė  Savostaitė,Kauno Aistės-LSMU,20,142,2021-2022
24,25,Andra  Gabalytė,Klaipėdos Neptūnas,14,139,2021-2022
25,26,Dominyka  Paliulytė,Klaipėdos Neptūnas,21,135,2021-2022
26,27,Karolina  Kazočiūnaitė,Vilniaus Kibirkštis-MRU,17,133,2021-2022
27,28,Justina  Oficerovaitė,Šiaulių Šiauliai-Vilmers,17,125,2021-2022
28,29,Donica  Cosby,Šiaulių Šiauliai-Vilmers,6,112,2021-2022
29,30,Brigita  Sinickaitė,Kauno Aistės-LSMU,14,105,2021-2022
30,31,Gabrielė  Sederevičiūtė,Vilniaus Kibirkštis-VKM,15,103,2021-2022
31,32,Klaudija  Janionytė,Šiaulių Šiauliai-Vilmers,16,92,2021-2022
32,33,Audronė  Zdanevičiūtė,Vilniaus Kibirkštis-MRU,13,89,2021-2022
33,34,Brigita  Rimkevičiūtė,Šiaulių Šiauliai-Vilmers,15,88,2021-2022
34,35,Viltė  Andrunavičiūtė,Šiaulių Šiauliai-Vilmers,10,83,2021-2022
35,36,Katrīna  Trankale,Šiaulių Šiauliai-Vilmers,9,81,2021-2022
36,37,Gustė  Drakšaitė,Klaipėdos LCC tarptautinis universitetas,9,80,2021-2022
37,38,Evelina  Razgutė,Šiaulių Šiauliai-Vilmers,15,79,2021-2022
38,39,Neda  Pliatkutė,Kauno Aistės-LSMU,19,76,2021-2022
39,40,Austė  Jurevičiūtė,Klaipėdos LCC tarptautinis universitetas,10,67,2021-2022
40,41,Kateryna  Chikaodiri Dike,Klaipėdos LCC tarptautinis universitetas,11,67,2021-2022
41,42,Allison  Zalin,Klaipėdos Neptūnas,20,62,2021-2022
42,43,Kristė  Timofejeva,Kauno Aistės-LSMU,11,58,2021-2022
43,44,Danielė  Paunksnytė,Vilniaus Kibirkštis-VKM,11,58,2021-2022
44,45,Eva  Pernavaitė,Vilniaus Kibirkštis-VKM,13,58,2021-2022
45,46,Vanja  Petrovic,Klaipėdos LCC tarptautinis universitetas,11,56,2021-2022
46,47,Ugnė  Grigaliūnaitė,Vilniaus Kibirkštis-VKM,14,53,2021-2022
47,48,Saulė  Mikelionytė,Vilniaus Kibirkštis-MRU,14,52,2021-2022
48,49,Enrika  Matiukaitė,Šiaulių Šiauliai-Vilmers,17,49,2021-2022
49,50,Arbe   Hashani,Klaipėdos LCC tarptautinis universitetas,11,29,2021-2022
50,51,Erika  Budajeva,Klaipėdos LCC tarptautinis universitetas,9,27,2021-2022
51,52,Agnesė  Garčinskaitė,Kauno Aistės-LSMU,7,24,2021-2022
52,53,Gabija  Strolytė,Vilniaus Kibirkštis-VKM,9,22,2021-2022
53,54,Gintarė  Buškevičiūtė,Vilniaus Kibirkštis-VKM,11,20,2021-2022
54,55,Kamilė  Mickutė,Klaipėdos Neptūnas,7,19,2021-2022
55,56,Ugnė  Grinkevičiūtė,Klaipėdos Neptūnas,10,19,2021-2022
56,57,Miglė  Kisarauskaitė,Kauno Aistės-LSMU,12,19,2021-2022
57,58,Rusnė  Būgaitė,Klaipėdos LCC tarptautinis universitetas,5,17,2021-2022
58,59,Urtė  Ratavičiūtė,Vilniaus Kibirkštis-VKM,15,17,2021-2022
59,60,Karina  Budajeva,Klaipėdos LCC tarptautinis universitetas,3,16,2021-2022
60,61,Eglė  Kisarauskaitė,Kauno Aistės-LSMU,8,12,2021-2022
61,62,Maria Eduarda Mello Buest,Klaipėdos LCC tarptautinis universitetas,9,12,2021-2022
62,63,Šeila  Gudinskaitė,Vilniaus Kibirkštis-MRU,13,12,2021-2022
63,64,Ema  Januškevičiūtė,Kauno Aistės-LSMU,7,11,2021-2022
64,65,Žaneta  Gustytė,Klaipėdos LCC tarptautinis universitetas,7,10,2021-2022
65,66,Erika Ieva Kraujelis,Klaipėdos LCC tarptautinis universitetas,9,3,2021-2022
66,67,Beata  Staponaitė,Klaipėdos LCC tarptautinis universitetas,3,2,2021-2022
0,1,Agnė  Černeckytė,Klaipėdos Neptūnas,26,353,2020-2021
1,2,Davida  Dale,Šiaulių Šiauliai,24,331,2020-2021
2,3,Dalia  Donskichytė,Klaipėdos Neptūnas,25,324,2020-2021
3,4,Ligita  Tamutytė,Klaipėdos Neptūnas,25,314,2020-2021
4,5,Jacqueline  Luna-Castro,Vilniaus Kibirkštis-MRU,26,298,2020-2021
5,6,Martyna   Petrėnaitė,Kauno Aistės-LSMU,25,292,2020-2021
6,7,Savannah  Plentovich,Šiaulių Šiauliai,23,285,2020-2021
7,8,Gabija  Šegždaitė,Kauno Aistės-LSMU,26,267,2020-2021
8,9,Karolina  Kazočiūnaitė,Kauno Aistės-LSMU,25,261,2020-2021
9,10,Livija  Sakevičiūtė,Vilniaus Kibirkštis-MRU,26,259,2020-2021
10,11,Deimantė  Žukaitė,Kauno Aistės-LSMU,25,246,2020-2021
11,12,Jacqueline  Benitez,Šiaulių Šiauliai,16,229,2020-2021
12,13,Gabrielė  Šulskė,Vilniaus Kibirkštis-MRU,23,229,2020-2021
13,14,Dominyka  Gerkytė,Vilniaus Kibirkštis-VKM,18,208,2020-2021
14,15,Urtė  Slavickaitė,Kauno Aistės-LSMU,25,206,2020-2021
15,16,Justina  Miknaitė,Vilniaus Kibirkštis-MRU,25,204,2020-2021
16,17,Eglė  Zabotkaitė,Vilniaus Kibirkštis-MRU,25,198,2020-2021
17,18,Urtė  Bukauskaitė,Šiaulių Šiauliai,26,197,2020-2021
18,19,Ieva  Savickaitė,Vilniaus Kibirkštis-MRU,26,191,2020-2021
19,20,Dominyka  Paliulytė,Klaipėdos Neptūnas,22,189,2020-2021
20,21,Gerda  Raulušaitytė,Vilniaus Kibirkštis-VKM,20,188,2020-2021
21,22,Andra  Gabalytė,Klaipėdos Neptūnas,21,187,2020-2021
22,23,Gintarė  Paulauskaitė,Klaipėdos Neptūnas,25,185,2020-2021
23,24,Viltė  Andrunavičiūtė,LCC tarptautinis universitetas,11,182,2020-2021
24,25,Enrika  Matiukaitė,Šiaulių Šiauliai,26,168,2020-2021
25,26,Kristė  Timofejeva,Vilniaus Kibirkštis-MRU,23,167,2020-2021
26,27,Justina   Kraujūnaitė,Vilniaus Kibirkštis-MRU,24,160,2020-2021
27,28,Brigita  Sinickaitė,Kauno Aistės-LSMU,26,150,2020-2021
28,29,Ugnė  Sirtautaitė,Vilniaus Kibirkštis-VKM,19,147,2020-2021
29,30,Emilija  Grigaliūnaitė,Vilniaus Kibirkštis-VKM,20,147,2020-2021
30,31,Rusnė  Būgaitė,"Klaipėdos Neptūnas

LCC tarptautinis universitetas",18,144,2020-2021
31,32,Audronė  Zdanevičiūtė,Vilniaus Kibirkštis-MRU,16,130,2020-2021
32,33,Austė  Jurevičiūtė,LCC tarptautinis universitetas,20,125,2020-2021
33,34,Ionna  McKenzie,Klaipėdos Neptūnas,23,123,2020-2021
34,35,Goda  Kuzminskytė,Šiaulių Šiauliai,18,115,2020-2021
35,36,Amalija  Pašajevaitė,Vilniaus Kibirkštis-VKM,20,108,2020-2021
36,37,Justina  Oficerovaitė,Šiaulių Šiauliai,26,101,2020-2021
37,38,Ieva  Šerpytytė,Šiaulių Šiauliai,26,85,2020-2021
38,39,Vestina  Keburytė,LCC tarptautinis universitetas,14,84,2020-2021
39,40,Šeila  Gudinskaitė,Šiaulių Šiauliai,26,83,2020-2021
40,41,Gabrielė  Sederevičiūtė,Vilniaus Kibirkštis-VKM,20,79,2020-2021
41,42,Evelina  Razgutė,LCC tarptautinis universitetas,11,74,2020-2021
42,43,Klaudija  Janionytė,Kauno Aistės-LSMU,24,64,2020-2021
43,44,Saulė  Mikelionytė,Vilniaus Kibirkštis-MRU,20,61,2020-2021
44,45,Gabija  Janušaitė,Kauno Aistės-LSMU,23,60,2020-2021
45,46,Gedvilė  Savostaitė,Kauno Aistės-LSMU,23,59,2020-2021
46,47,Agnesė  Garčinskaitė,Šiaulių Šiauliai,24,58,2020-2021
47,48,Aistė  Radzevičiūtė,Vilniaus Kibirkštis-VKM,19,54,2020-2021
48,49,Gustė  Drakšaitė,LCC tarptautinis universitetas,11,52,2020-2021
49,50,Ana  Kavtaradze,"Klaipėdos Neptūnas

LCC tarptautinis universitetas",11,46,2020-2021
50,51,Julita  Bungaitė,Vilniaus Kibirkštis-MRU,19,46,2020-2021
51,52,Kamilė  Mickutė,Kauno Aistės-LSMU,20,41,2020-2021
52,53,Vanja  Petrovic,LCC tarptautinis universitetas,20,41,2020-2021
53,54,Ema  Januškevičiūtė,LCC tarptautinis universitetas,11,35,2020-2021
54,55,Evelina  Šataitė,Vilniaus Kibirkštis-MRU,14,30,2020-2021
55,56,Ugnė  Grigaliūnaitė,Vilniaus Kibirkštis-VKM,14,28,2020-2021
56,57,Gintarė  Buškevičiūtė,Vilniaus Kibirkštis-VKM,18,27,2020-2021
57,58,Eva  Pernavaitė,Vilniaus Kibirkštis-VKM,10,20,2020-2021
58,59,Ugnė  Grinkevičiūtė,Klaipėdos Neptūnas,22,19,2020-2021
59,60,Austėja  Kasnaravičiūtė,LCC tarptautinis universitetas,19,18,2020-2021
60,61,Skaistė  Kozytė,LCC tarptautinis universitetas,17,13,2020-2021
61,62,Aistė  Švėgždaitė,Kauno Aistės-LSMU,18,12,2020-2021
62,63,Urtė  Ratavičiūtė,Vilniaus Kibirkštis-VKM,10,9,2020-2021
63,64,Gabija  Strolytė,Vilniaus Kibirkštis-VKM,13,8,2020-2021
64,65,Žaneta  Gustytė,LCC tarptautinis universitetas,10,6,2020-2021
