,Place,Player,Team,Games,Sum,Season
69,70,Justas Furmanavičius,Šiauliai,35,237,2020-2021
70,71,Evaldas Šaulys,Neptūnas,30,233,2020-2021
71,72,Daniel Amigo,Pieno žvaigždės,23,229,2020-2021
72,73,Artūras Milaknis,Žalgiris,33,226,2020-2021
73,74,Emmanuel Lecomte,Prienų CBet,15,223,2020-2021
74,75,Ariel Hukporti,Nevėžis–Optibet,21,219,2020-2021
75,76,Deividas Gailius,Neptūnas,13,219,2020-2021
76,77,Marius Runkauskas,Juventus,45,214,2020-2021
77,78,Karolis Lukošiūnas,Žalgiris,37,209,2020-2021
78,79,Kristjan Kitsing,Rytas,28,206,2020-2021
79,80,Regimantas Miniotas,Prienų CBet,11,203,2020-2021
80,81,Egidijus Dimša,Prienų CBet,32,200,2020-2021
81,82,Ignas Sargiūnas,Prienų CBet,21,200,2020-2021
82,83,Julius Jucikas,Nevėžis–Optibet,20,198,2020-2021
83,84,Augustas Marčiulionis,Rytas,41,197,2020-2021
84,85,Tadas Rinkūnas,Dzūkija,32,190,2020-2021
85,86,Tadas Pažėra,Neptūnas,27,185,2020-2021
86,87,Stephen Vasturia,Žalgiris,30,184,2020-2021
87,88,Yannick Franke,Pieno žvaigždės,14,175,2020-2021
88,89,Arvydas Šikšnius,Pieno žvaigždės,24,172,2020-2021
89,90,Marek Blaževič,Žalgiris,24,155,2020-2021
90,91,Martynas Pacevičius,Prienų CBet,17,154,2020-2021
91,92,Martynas Zigmantavičius,Dzūkija,35,153,2020-2021
92,93,Simas Jarumbauskas,Prienų CBet,36,153,2020-2021
93,94,Justas Tamulis,Nevėžis–Optibet,29,150,2020-2021
94,95,Justinas Jogminas,Prienų CBet,36,149,2020-2021
95,96,Grantas Vasiliauskas,Nevėžis–Optibet,33,149,2020-2021
96,97,Andreja Milutinovič,Pieno žvaigždės,22,143,2020-2021
97,98,Erikas Venskus,Lietkabelis,45,141,2020-2021
98,99,Denis Krestinin,Šiauliai,38,138,2020-2021
99,100,Giedrius Stankevičius,Neptūnas,28,134,2020-2021
100,101,Marius Valinskas,Lietkabelis,36,133,2020-2021
101,102,Vytenis Čižauskas,Dzūkija,9,120,2020-2021
102,103,Abramo Canka,Nevėžis–Optibet,17,119,2020-2021
103,104,Troy Barnies,Lietkabelis,23,114,2020-2021
104,105,Jokūbas Gintvainis,Nevėžis–Optibet,20,101,2020-2021
105,106,Rafael Freire Luz,Nevėžis–Optibet,11,98,2020-2021
106,107,Aurimas Urbonas,Juventus,20,94,2020-2021
107,108,Klaidas Metrikis,Neptūnas,26,93,2020-2021
108,109,Maurice Ndour,Rytas,5,87,2020-2021
109,110,Ernestas Jonkus,Šiauliai,33,86,2020-2021
110,111,Ignas Lukošius,Nevėžis–Optibet,28,85,2020-2021
111,112,Demetrius Jackson,Rytas,6,81,2020-2021
112,113,Modestas Paulauskas,Dzūkija,32,80,2020-2021
113,114,Steven Alan Haney Jr,Pieno žvaigždės,15,79,2020-2021
114,115,Efrem Reynard Montgomery Jr,Nevėžis–Optibet,16,76,2020-2021
115,116,Ryan Boatright,Rytas,8,73,2020-2021
116,117,Christopher Mccullough,Rytas,8,70,2020-2021
117,118,Rapolas Ivanauskas,Rytas,22,65,2020-2021
118,119,Martynas Paliukėnas,Juventus,9,63,2020-2021
119,120,Nojus Mineikis,Neptūnas,12,59,2020-2021
120,121,Rokas Gustys,Rytas,9,59,2020-2021
121,122,Martynas Pocevičius,Nevėžis–Optibet,20,58,2020-2021
122,123,Gediminas Orelik,Šiauliai,5,58,2020-2021
123,124,Marin Marič,Lietkabelis,7,57,2020-2021
124,125,Gilvydas Biruta,Prienų CBet,9,55,2020-2021
125,126,Rokas Gadiliauskas,Prienų CBet,18,48,2020-2021
126,127,Keith Benson,Rytas,5,47,2020-2021
127,128,Ryan Anderson,Šiauliai,4,44,2020-2021
128,129,Tadas Vaičiūnas,Lietkabelis,19,43,2020-2021
129,130,Jamel Gurley Artis,Juventus,6,38,2020-2021
130,131,Paulius Poška,Lietkabelis,15,28,2020-2021
131,132,Paulius Danusevičius,Šiauliai,17,28,2020-2021
132,133,Jonas Paukštė,Šiauliai,13,25,2020-2021
133,134,Thomas Xavier Dziagwa,Dzūkija,10,24,2020-2021
134,135,Laurynas Balkūnas,Pieno žvaigždės,26,23,2020-2021
135,136,Adomas Sidarevičius,Neptūnas,9,22,2020-2021
136,137,Arnas Adomavičius,Rytas,12,21,2020-2021
137,138,Mantas Rubštavičius,Žalgiris,8,21,2020-2021
138,139,Darrin Dorsey,Neptūnas,3,21,2020-2021
139,140,Patricio Garino,Žalgiris,6,21,2020-2021
140,141,Zigmars Raimo,Pieno žvaigždės,8,21,2020-2021
141,142,Aidas Einikis,Neptūnas,6,19,2020-2021
142,143,Tomas Pačėsas,Dzūkija,6,19,2020-2021
143,144,Ernestas Mankauskas,Prienų CBet,10,16,2020-2021
144,145,Redas Venclovas,Pieno žvaigždės,18,16,2020-2021
145,146,Edgars Lasenbergs,Pieno žvaigždės,4,15,2020-2021
146,147,Tautvydas Lydeka,Rytas,3,12,2020-2021
147,148,Adas Šimonis,Rytas,4,12,2020-2021
148,149,Imru Duke,Nevėžis–Optibet,3,9,2020-2021
149,150,Demetrius Treadwell,Prienų CBet,3,8,2020-2021
150,151,Matas Razbadauskas,Nevėžis–Optibet,5,7,2020-2021
151,152,Martynas Žvirblis,Juventus,9,6,2020-2021
152,153,Robertas Indrišiūnas,Pieno žvaigždės,12,5,2020-2021
153,154,Eric Stuteville,Dzūkija,2,5,2020-2021
154,155,Seth Christian Le Day,Šiauliai,1,4,2020-2021
155,156,Paulius Murauskas,Žalgiris,3,4,2020-2021
156,157,Tomas Dimša,Žalgiris,1,3,2020-2021
157,158,Šarūnas Valunta,Šiauliai,3,3,2020-2021
158,159,Lukas Kreišmontas,Neptūnas,1,3,2020-2021
159,160,Daniel Baslyk,Šiauliai,2,3,2020-2021
160,161,Redas Šukšta,Juventus,6,2,2020-2021
161,162,Domantas Šarauskas,Šiauliai,2,2,2020-2021
162,163,Adas Šiumbrys,Dzūkija,2,0,2020-2021
163,164,Khadim Sow,Prienų CBet,3,0,2020-2021
164,165,Rokas Jocius,Rytas,1,0,2020-2021
165,166,Rokas Pačėsas,Dzūkija,1,0,2020-2021
