,Place,Player,Team,Games,Sum,Season
97,98,Dovydas Romančenko,Uniclub Casino - Juventus,35,173,2022-2023
98,99,John Gillon,Pieno žvaigždės,12,165,2022-2023
99,100,Jeffery Taylor,Wolves,14,165,2022-2023
100,101,Tyler Cavanaugh,Žalgiris,22,163,2022-2023
101,102,Vytautas Šulskis,CBet,38,162,2022-2023
102,103,Mindaugas Lukauskis,Wolves,33,156,2022-2023
103,104,Nojus Mineikis,Neptūnas,27,156,2022-2023
104,105,Kendale McCullum,Rytas,18,156,2022-2023
105,106,Domantas Vilys,Labas Gas,23,155,2022-2023
106,107,Dovydas Giedraitis,Žalgiris,30,150,2022-2023
107,108,Matas Vaitkus,Neptūnas,34,142,2022-2023
108,109,Rinalds Malmanis,Neptūnas,33,141,2022-2023
109,110,Achille Polonara,Žalgiris,21,140,2022-2023
110,111,Daniel Baslyk,Šiauliai,33,136,2022-2023
111,112,Jorden Duffy,7bet-Lietkabelis,19,134,2022-2023
112,113,Artem Kovalov,Pieno žvaigždės,28,134,2022-2023
113,114,Aurimas Majauskas,CBet,17,132,2022-2023
114,115,Ernestas Sederevičius,Uniclub Casino - Juventus,33,127,2022-2023
115,116,Mantas Ruikis,Gargždai,29,126,2022-2023
116,117,Rashard Kelly,Wolves,11,126,2022-2023
117,118,Stefan Peno,7bet-Lietkabelis,24,125,2022-2023
118,119,Doko Šalič,Labas Gas,13,123,2022-2023
119,120,Reigarvius Williams,Rytas,15,115,2022-2023
120,121,Paulius Petrilevičius,Nevėžis–Optibet,8,112,2022-2023
121,122,Giedrius Bergaudas,Labas Gas,27,109,2022-2023
122,123,Eric Buckner,Wolves,12,104,2022-2023
123,124,Aurimas Urbonas,Gargždai,24,102,2022-2023
124,125,Keenan Evans,Žalgiris,10,99,2022-2023
125,126,Hugo Invernizzi,Wolves,16,98,2022-2023
126,127,Jamil Wilson,Labas Gas,9,97,2022-2023
127,128,Radoslav Pekovič,Šiauliai,14,95,2022-2023
128,129,Keith Benson,Uniclub Casino - Juventus,11,94,2022-2023
129,130,Titas Sargiūnas,Nevėžis–Optibet,30,92,2022-2023
130,131,Tomas Lekūnas,Rytas,27,91,2022-2023
131,132,Jordan Williams,Labas Gas,12,89,2022-2023
132,133,Benas Griciūnas,7bet-Lietkabelis,18,88,2022-2023
133,134,Artūras Valeika,CBet,24,87,2022-2023
134,135,Motiejus Krivas,Žalgiris,13,82,2022-2023
135,136,Vitalijus Kozys,Wolves,20,76,2022-2023
136,137,Rokas Gadiliauskas,Labas Gas,12,70,2022-2023
137,138,Maliek White,Neptūnas,14,70,2022-2023
138,139,Aaron Cook,Nevėžis–Optibet,12,68,2022-2023
139,141,Nemanja Bezbradica,Šiauliai,8,67,2022-2023
140,142,Justinas Marcinkevičius,Nevėžis–Optibet,20,65,2022-2023
141,143,Evan Maxwell,CBet,18,61,2022-2023
142,144,Robertas Keliačius,Labas Gas,8,60,2022-2023
143,145,Martynas Zigmantavičius,Pieno žvaigždės,22,58,2022-2023
144,146,Mindaugas Stašys,Gargždai,20,55,2022-2023
145,147,Ernestas Jonkus,Gargždai,8,53,2022-2023
146,148,Bryce Douvier,Šiauliai,10,48,2022-2023
147,149,Mintautas Mockus,Labas Gas,15,47,2022-2023
148,150,Jerai Grant,Wolves,4,44,2022-2023
149,151,Klaidas Metrikis,Labas Gas,10,43,2022-2023
150,152,Mantas Kalnietis,Žalgiris,11,42,2022-2023
151,153,Lukas Kreišmontas,CBet,17,41,2022-2023
152,154,Dorde Dželetovič,Pieno žvaigždės,9,40,2022-2023
153,155,Martynas Arlauskas,Pieno žvaigždės,23,34,2022-2023
154,156,Adas Šimonis,Rytas,13,30,2022-2023
155,157,Rafael Alberton Rodrigues,Nevėžis–Optibet,15,30,2022-2023
156,158,Aleksa Nikolič,Uniclub Casino - Juventus,20,27,2022-2023
157,161,Grantas Vasiliauskas,7bet-Lietkabelis,16,24,2022-2023
158,162,Liutauras Lelevičius,Žalgiris,10,23,2022-2023
159,163,Juan Gomez de Liano,Wolves,7,21,2022-2023
160,164,Mantvydas Staniulis,CBet,8,20,2022-2023
161,165,Dominykas Stenionis,Nevėžis–Optibet,6,19,2022-2023
162,166,Tomas Verbinskis,Nevėžis–Optibet,28,19,2022-2023
163,167,Modestas Babraitis,Rytas,3,18,2022-2023
164,168,Arnas Adomavičius,Labas Gas,7,11,2022-2023
165,169,Jokūbas Rubinas,Šiauliai,8,10,2022-2023
166,170,Tadas Pažėra,Uniclub Casino - Juventus,2,9,2022-2023
167,171,Shaquille Keith,Labas Gas,2,9,2022-2023
168,172,Deividas Žukauskas,Šiauliai,4,9,2022-2023
169,173,Herkus Kumpys,Wolves,4,8,2022-2023
170,174,Kaspars Berzins,Uniclub Casino - Juventus,1,8,2022-2023
171,175,Kajus Kublickas,Žalgiris,2,8,2022-2023
172,176,Mantas Litvinas,Šiauliai,3,7,2022-2023
173,181,Adomas Sidarevičius,Neptūnas,8,5,2022-2023
174,182,Matas Repšys,Neptūnas,5,4,2022-2023
175,183,Vaidas Čepukaitis,Wolves,1,3,2022-2023
176,184,Tomas Pačėsas,Wolves,5,3,2022-2023
177,185,Lorenas Stoškevičius,Nevėžis–Optibet,17,3,2022-2023
178,186,Gediminas Leščiauskas,Neptūnas,7,2,2022-2023
179,187,Kajus Leliukas,Šiauliai,3,2,2022-2023
180,188,Juozas Virkutis,Gargždai,6,2,2022-2023
181,189,Nikas Stuknys,7bet-Lietkabelis,4,2,2022-2023
182,190,Mantas Gūžys,Labas Gas,6,2,2022-2023
183,191,Xavier Thames,CBet,1,1,2022-2023
184,192,Robertas Indrišiūnas,Pieno žvaigždės,1,0,2022-2023
185,193,Nedas Rauluševičius,CBet,1,0,2022-2023
186,194,Mantas Gezevičius,CBet,8,0,2022-2023
187,195,Edas Valenta,Labas Gas,3,0,2022-2023
188,196,Robertas Syčius,CBet,9,0,2022-2023
189,201,Gustas Grabauskas,Šiauliai,2,0,2022-2023
190,202,Kristupas Umantas,Gargždai,2,0,2022-2023
191,203,Paulius Kulikauskas,Gargždai,3,0,2022-2023
0,1,Dorde Gagič,Lietkabelis,42,578,2021-2022
1,2,Ivan Buva,Rytas,34,560,2021-2022
2,3,Patrick Miller,Uniclub Casino - Juventus,29,520,2021-2022
3,4,Deividas Gailius,Neptūnas,31,500,2021-2022
4,5,Giedrius Staniulis,Šiauliai-7Bet,39,485,2021-2022
5,6,Martynas Varnas,Šiauliai-7Bet,41,477,2021-2022
6,7,Jonathan Elmore,Šiauliai-7Bet,30,459,2021-2022
7,8,Tyler Cavanaugh,Žalgiris,38,439,2021-2022
8,9,Kenneth Smith,Rytas,40,437,2021-2022
9,10,Gediminas Orelik,Lietkabelis,37,435,2021-2022
10,11,Panagiotis Kalaitzakis,Lietkabelis,40,420,2021-2022
11,12,Isaiah Armwood,Šiauliai-7Bet,40,407,2021-2022
12,13,Mindaugas Lukauskis,Dzūkija,34,405,2021-2022
13,14,Joshua Newkirk,Dzūkija,33,401,2021-2022
14,15,Emmanuel Lecomte,CBet,27,399,2021-2022
15,16,Benas Griciūnas,Neptūnas,34,392,2021-2022
16,17,Margiris Normantas,Rytas,41,389,2021-2022
17,18,Aleksandar Aranitovič,Dzūkija,32,387,2021-2022
18,19,Lukas Lekavičius,Žalgiris,37,386,2021-2022
19,20,Donatas Sabeckis,Šiauliai-7Bet,41,385,2021-2022
20,21,Žygimantas Skučas,Pieno žvaigždės,30,364,2021-2022
21,22,Rokas Gustys,Uniclub Casino - Juventus,30,362,2021-2022
22,23,Ignas Sargiūnas,Labas Gas,29,361,2021-2022
23,24,Edvinas Šeškus,CBet,32,359,2021-2022
24,25,Arnas Beručka,Pieno žvaigždės,29,358,2021-2022
25,26,Gytis Radzevičius,Rytas,42,355,2021-2022
26,27,Edgaras Ulanovas,Žalgiris,33,353,2021-2022
27,28,Arnas Butkevičius,Rytas,41,351,2021-2022
28,29,Justas Furmanavičius,Dzūkija,34,339,2021-2022
29,30,Amar Sylla,Nevėžis–Optibet,29,337,2021-2022
30,31,Jovan Kljajič,Labas Gas,27,334,2021-2022
31,32,Evaldas Šaulys,CBet,29,333,2021-2022
32,33,Mindaugas Girdžiūnas,Rytas,39,330,2021-2022
33,34,Eimantas Stankevičius,Šiauliai-7Bet,39,328,2021-2022
34,35,Žygimantas Janavičius,Neptūnas,32,325,2021-2022
35,36,Kristupas Žemaitis,Lietkabelis,41,325,2021-2022
36,37,Dylan Frye,Dzūkija,32,325,2021-2022
37,38,Rihards Kuksiks,Nevėžis–Optibet,25,323,2021-2022
38,39,Vytautas Šulskis,Uniclub Casino - Juventus,31,316,2021-2022
39,40,Rapolas Ivanauskas,Labas Gas,28,310,2021-2022
40,41,Gabrielius Maldūnas,Lietkabelis,42,310,2021-2022
41,42,Edgaras Želionis,Neptūnas,34,307,2021-2022
42,43,Vytenis Lipkevičius,Lietkabelis,37,305,2021-2022
43,44,Juan Palacios,CBet,24,298,2021-2022
44,45,Tanner Leissner,Rytas,36,297,2021-2022
45,46,Matas Jogėla,Neptūnas,32,297,2021-2022
46,47,Lukas Uleckas,Rytas,41,289,2021-2022
47,48,Dovydas Giedraitis,Lietkabelis,36,289,2021-2022
48,49,Kaspars Berzins,Lietkabelis,39,284,2021-2022
49,50,Joshua Nebo,Žalgiris,41,281,2021-2022
50,51,Markell Johnson,Pieno žvaigždės,23,277,2021-2022
51,52,Vaidas Kariniauskas,Rytas,36,276,2021-2022
52,53,Vitalijus Kozys,CBet,32,270,2021-2022
53,54,Marius Valinskas,Nevėžis–Optibet,26,267,2021-2022
54,55,Artūras Milaknis,Žalgiris,40,264,2021-2022
55,56,Karolis Lukošiūnas,Žalgiris,40,260,2021-2022
56,57,Sven Smajlagič,Nevėžis–Optibet,19,260,2021-2022
57,58,Nikola Radičevič,Lietkabelis,30,259,2021-2022
58,59,Marek Blaževič,Žalgiris,29,258,2021-2022
59,60,Juwan Josiah Durham,Labas Gas,24,258,2021-2022
60,61,Randy Culpepper,Pieno žvaigždės,16,255,2021-2022
61,62,Tomas Lekūnas,Uniclub Casino - Juventus,31,253,2021-2022
62,63,Laimonas Kisielius,CBet,27,251,2021-2022
63,64,Julius Jucikas,Neptūnas,35,245,2021-2022
64,65,Simas Jarumbauskas,Pieno žvaigždės,27,243,2021-2022
65,66,Janis Strelnieks,Žalgiris,34,237,2021-2022
66,67,Niels Giffey,Žalgiris,39,230,2021-2022
67,68,Martynas Gecevičius,Uniclub Casino - Juventus,24,227,2021-2022
68,69,Ignas Vaitkus,Uniclub Casino - Juventus,27,225,2021-2022
69,70,Reigarvius Williams,Rytas,24,223,2021-2022
70,71,Joffrey Lauvergne,Žalgiris,23,222,2021-2022
71,72,Paulius Danusevičius,Šiauliai-7Bet,32,221,2021-2022
72,73,Paulius Murauskas,Nevėžis–Optibet,25,216,2021-2022
73,74,Nojus Mineikis,Neptūnas,34,213,2021-2022
74,75,Paulius Petrilevičius,Pieno žvaigždės,20,205,2021-2022
75,76,Erikas Venskus,Labas Gas,29,200,2021-2022
76,77,Kahlil Thomas,CBet,29,198,2021-2022
77,78,Tai Webster,Žalgiris,25,196,2021-2022
78,79,Adam Lapeta,Dzūkija,33,195,2021-2022
79,80,Issuf Sanon,Šiauliai-7Bet,17,193,2021-2022
80,81,Nemanja Bezbradica,Šiauliai-7Bet,27,191,2021-2022
81,82,Tahjon Starks,Nevėžis–Optibet,10,189,2021-2022
82,83,Gintautas Matulis,Uniclub Casino - Juventus,24,182,2021-2022
83,84,Martynas Zigmantavičius,Dzūkija,33,182,2021-2022
84,85,Arminas Urbutis,Šiauliai-7Bet,20,180,2021-2022
85,86,Lachlan Anderson,CBet,31,176,2021-2022
86,87,Justinas Ramanauskas,CBet,31,170,2021-2022
87,88,Daryl Doualla,Nevėžis–Optibet,28,157,2021-2022
88,89,Tahj Jerome Eaddy,Labas Gas,17,156,2021-2022
89,90,Kristaps Gluditis,Pieno žvaigždės,25,156,2021-2022
90,91,Martynas Mažeika,Neptūnas,31,154,2021-2022
91,92,Giedrius Stankevičius,Labas Gas,28,151,2021-2022
92,93,Vaidas Čepukaitis,Dzūkija,32,150,2021-2022
93,94,Paulius Danisevičius,Pieno žvaigždės,30,148,2021-2022
94,95,Karolis Giedraitis,Lietkabelis,32,142,2021-2022
95,96,Mantas Kalnietis,Žalgiris,34,137,2021-2022
96,97,Justinas Jogminas,Labas Gas,27,137,2021-2022
97,98,Jaylin Airington,Uniclub Casino - Juventus,27,133,2021-2022
98,99,Paulius Jankūnas,Žalgiris,29,132,2021-2022
99,101,Vladyslav Koreniuk,Uniclub Casino - Juventus,12,132,2021-2022
100,102,Jeffery Garrett,CBet,10,129,2021-2022
101,103,Artūras Jomantas,Dzūkija,26,122,2021-2022
102,104,Domantas Vilys,Nevėžis–Optibet,26,120,2021-2022
103,105,Regimantas Miniotas,Žalgiris,22,110,2021-2022
104,106,Norbertas Giga,Uniclub Casino - Juventus,24,107,2021-2022
105,107,Vytenis Čižauskas,Nevėžis–Optibet,10,98,2021-2022
106,108,Ivan Perasovič,Labas Gas,21,95,2021-2022
107,109,Mantvydas Staniulis,Labas Gas,30,92,2021-2022
108,110,Danielius Lavrinovičius,Nevėžis–Optibet,14,90,2021-2022
109,111,Dmytro Skapintsev,Pieno žvaigždės,10,89,2021-2022
110,112,Klaidas Metrikis,Neptūnas,27,82,2021-2022
111,113,Grantas Vasiliauskas,Lietkabelis,27,82,2021-2022
112,114,Tomas Delininkaitis,Uniclub Casino - Juventus,17,80,2021-2022
