,Place,Player,Team,Games,Sum
121,122,Jonathan Davis,Uniclub Casino - Juventus,13,37
122,123,Antino Jackson,Šiauliai,22,37
123,124,Mindaugas Lukauskis,Wolves,33,36
124,125,Radoslav Pekovič,Šiauliai,14,35
125,126,Aleksa Nikolič,Uniclub Casino - Juventus,20,35
126,127,Dovydas Giedraitis,Žalgiris,30,34
127,128,Jorden Duffy,7bet-Lietkabelis,19,33
128,129,Marius Runkauskas,Gargždai,26,32
129,130,Isaiah Taylor,Žalgiris,21,32
130,131,Kyan Anderson,Labas Gas,22,32
131,132,Rafael Alberton Rodrigues,Nevėžis–Optibet,15,31
132,133,Kendale McCullum,Rytas,18,30
133,134,Mintautas Mockus,Labas Gas,15,30
134,135,Titas Sargiūnas,Nevėžis–Optibet,30,28
135,136,Martynas Arlauskas,Pieno žvaigždės,23,27
136,137,Robertas Keliačius,Labas Gas,8,27
137,138,Karolis Lukošiūnas,Žalgiris,40,26
138,139,Jared Cunningham,Pieno žvaigždės,18,25
139,141,Evan Maxwell,CBet,18,25
140,142,Jared Cunningham,Pieno žvaigždės,18,25
141,143,Bryce Douvier,Šiauliai,10,25
142,144,Domantas Vilys,Labas Gas,23,24
143,145,John Gillon,Pieno žvaigždės,12,24
144,146,Maliek White,Neptūnas,14,24
145,147,Lukas Kreišmontas,CBet,17,22
146,148,Ernestas Jonkus,Gargždai,8,21
147,149,Aaron Cook,Nevėžis–Optibet,12,20
148,150,Klaidas Metrikis,Labas Gas,10,19
149,151,Jerai Grant,Wolves,4,18
150,152,Keenan Evans,Žalgiris,10,18
151,153,Nemanja Bezbradica,Šiauliai,8,17
152,154,Mantas Kalnietis,Žalgiris,11,16
153,155,Martynas Zigmantavičius,Pieno žvaigždės,22,14
154,156,Adas Šimonis,Rytas,13,13
155,157,Dorde Dželetovič,Pieno žvaigždės,9,13
156,158,Mindaugas Stašys,Gargždai,20,12
157,159,Arnas Adomavičius,Labas Gas,7,11
158,161,Tomas Verbinskis,Nevėžis–Optibet,28,11
159,162,Grantas Vasiliauskas,7bet-Lietkabelis,16,10
160,163,Liutauras Lelevičius,Žalgiris,10,10
161,164,Juan Gomez de Liano,Wolves,7,8
162,165,Lorenas Stoškevičius,Nevėžis–Optibet,17,5
163,166,Tadas Pažėra,Uniclub Casino - Juventus,2,4
164,167,Kaspars Berzins,Uniclub Casino - Juventus,1,4
165,168,Modestas Babraitis,Rytas,3,4
166,169,Vaidas Čepukaitis,Wolves,1,3
167,170,Dominykas Stenionis,Nevėžis–Optibet,6,3
168,171,Herkus Kumpys,Wolves,4,2
169,172,Adomas Sidarevičius,Neptūnas,8,2
170,173,Kajus Leliukas,Šiauliai,3,2
171,174,Mantas Gezevičius,CBet,8,2
172,175,Mantvydas Staniulis,CBet,8,2
173,181,Mantas Gūžys,Labas Gas,6,2
174,182,Kristupas Umantas,Gargždai,2,2
175,183,Shaquille Keith,Labas Gas,2,2
176,184,Gediminas Leščiauskas,Neptūnas,7,1
177,185,Matas Repšys,Neptūnas,5,1
178,186,Edas Valenta,Labas Gas,3,1
179,187,Mantas Litvinas,Šiauliai,3,1
180,188,Juozas Virkutis,Gargždai,6,1
181,189,Nikas Stuknys,7bet-Lietkabelis,4,1
182,190,Robertas Syčius,CBet,9,1
183,191,Deividas Žukauskas,Šiauliai,4,1
184,192,Jokūbas Rubinas,Šiauliai,8,1
185,193,Kajus Kublickas,Žalgiris,2,1
186,194,Paulius Kulikauskas,Gargždai,3,1
187,195,Tomas Pačėsas,Wolves,5,0
188,196,Robertas Indrišiūnas,Pieno žvaigždės,1,0
189,197,Nedas Rauluševičius,CBet,1,0
190,201,Xavier Thames,CBet,1,0
191,202,Gustas Grabauskas,Šiauliai,2,0
