,Vieta,Zaidejas,Komanda,Rungtynes,Suma
121,123,Julius Jucikas,Pieno žvaigždės,20,18
122,124,Vitalijus Kozys,Wolves,20,18
123,125,Radoslav Pekovič,Šiauliai,14,18
124,126,Ernestas Jonkus,Gargždai,8,18
125,127,Šarūnas Beniušis,Gargždai,33,17
126,128,Justinas Jogminas,Labas Gas,23,17
127,129,Ernestas Sederevičius,Uniclub Casino - Juventus,33,17
128,130,Daniel Baslyk,Šiauliai,33,17
129,131,Jamil Wilson,Labas Gas,9,17
130,132,Artem Kovalov,Pieno žvaigždės,28,16
131,133,Benas Griciūnas,7bet-Lietkabelis,18,15
132,134,Dovydas Romančenko,Uniclub Casino - Juventus,35,15
133,135,Rashard Kelly,Wolves,11,14
134,136,Eric Buckner,Wolves,12,14
135,137,Aleksa Nikolič,Uniclub Casino - Juventus,20,14
136,138,Nojus Mineikis,Neptūnas,27,13
137,139,Justinas Marcinkevičius,Nevėžis–Optibet,20,11
138,141,Doko Šalič,Labas Gas,13,11
139,142,Justinas Marcinkevičius,Nevėžis–Optibet,20,11
140,143,Jaime Echenique,Rytas,15,9
141,144,Keith Benson,Uniclub Casino - Juventus,11,7
142,145,Arnas Adomavičius,Labas Gas,7,7
143,146,Motiejus Krivas,Žalgiris,13,7
144,147,Klaidas Metrikis,Labas Gas,10,6
145,148,Grantas Vasiliauskas,7bet-Lietkabelis,16,6
146,149,Robertas Keliačius,Labas Gas,8,6
147,150,Adomas Sidarevičius,Neptūnas,8,5
148,151,Adas Šimonis,Rytas,13,5
149,152,Mantvydas Staniulis,CBet,8,5
150,153,Jokūbas Rubinas,Šiauliai,8,5
151,154,Bryce Douvier,Šiauliai,10,5
152,155,Austin Wiley,Neptūnas,23,5
153,156,Evan Maxwell,CBet,18,4
154,157,Dominykas Stenionis,Nevėžis–Optibet,6,4
155,158,Kajus Kublickas,Žalgiris,2,4
156,161,Evan Maxwell,CBet,18,4
157,162,Dominykas Stenionis,Nevėžis–Optibet,6,4
158,163,Juan Gomez de Liano,Wolves,7,4
159,164,Kajus Kublickas,Žalgiris,2,4
160,165,Rokas Gadiliauskas,Labas Gas,12,3
161,166,Lorenas Stoškevičius,Nevėžis–Optibet,17,3
162,167,Xavier Thames,CBet,1,3
163,168,Rafael Alberton Rodrigues,Nevėžis–Optibet,15,3
164,169,Modestas Babraitis,Rytas,3,3
165,170,Martynas Arlauskas,Pieno žvaigždės,23,2
166,171,Lukas Kreišmontas,CBet,17,2
167,172,Nikas Stuknys,7bet-Lietkabelis,4,2
168,173,Tomas Verbinskis,Nevėžis–Optibet,28,2
169,174,Dorde Dželetovič,Pieno žvaigždės,9,2
170,175,Tomas Pačėsas,Wolves,5,1
